"name","essround","edition","proddate","idno","cntry","trstprl","trstplt","trstprt","trstep","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","dweight","pspwght","pweight"
"ESS3e03_7",3,"3.7","01.12.2018",74,"AT",7,2,2,2,1,10,4,2,3,8,5,10,0.8286,0.41716248,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",77,"AT",6,6,6,6,88,6,7,5,8,7,9,7,0.8286,0.63305193,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",78,"AT",8,6,7,7,3,8,7,8,8,6,7,8,1.6572,1.4090211,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",80,"AT",9,7,8,7,3,8,9,7,9,5,8,8,2.0715,2.21588,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",81,"AT",6,4,4,6,0,8,7,8,8,5,8,8,1.2429,1.1006993,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",83,"AT",8,8,8,8,5,10,10,8,10,8,10,8,1.6572,0.83432496,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",84,"AT",5,2,3,3,5,10,4,5,5,5,7,10,0.8286,0.41716248,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",86,"AT",77,1,2,2,5,5,6,3,7,5,6,5,0.8286,0.959949,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",87,"AT",4,3,1,4,4,8,8,88,6,7,7,7,0.4143,0.62149215,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",92,"AT",1,1,1,0,0,7,4,0,3,5,5,10,0.8286,0.959949,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",93,"AT",2,2,2,2,88,7,88,5,8,6,4,8,0.4143,0.31652597,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",98,"AT",6,3,5,1,5,7,4,7,9,9,9,7,0.8286,0.72327614,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",101,"AT",5,2,2,5,7,10,4,3,3,7,8,10,0.8286,0.63305193,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",102,"AT",5,3,3,3,5,8,6,2,4,7,7,10,0.4143,0.36163807,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",107,"AT",5,4,3,5,5,9,7,3,5,6,7,9,1.6572,0.83432496,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",108,"AT",6,6,6,88,6,7,7,7,8,8,8,8,1.6572,1.4465523,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",114,"AT",5,3,2,5,4,10,10,4,7,8,7,5,0.8286,0.41716248,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",116,"AT",7,3,3,6,5,7,7,5,6,7,7,7,1.2429,0.62574375,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",117,"AT",5,7,7,6,5,8,7,5,8,8,8,8,0.8286,1.2758402,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",119,"AT",4,3,3,5,5,8,9,4,5,8,5,10,1.2429,0.62574375,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",120,"AT",5,1,1,1,88,10,5,4,5,88,10,10,1.2429,2.8415408,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",122,"AT",10,8,8,2,3,10,8,0,10,8,9,10,0.8286,0.7035328,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",125,"AT",0,0,0,0,5,5,0,0,0,3,4,5,0.8286,0.41716248,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",126,"AT",6,5,4,5,4,8,8,5,8,7,9,8,2.0715,1.7612765,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",131,"AT",2,1,1,3,4,10,5,2,5,7,9,9,0.8286,0.959949,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",132,"AT",7,1,1,1,4,7,5,3,5,5,4,7,1.6572,0.83432496,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",134,"AT",7,5,4,6,4,6,6,4,5,4,5,6,0.8286,1.5829139,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",137,"AT",7,5,4,3,5,4,6,7,7,5,5,4,0.4143,0.6379201,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",138,"AT",3,1,1,1,5,8,5,1,8,3,3,5,0.8286,1.3967173,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",140,"AT",7,4,3,3,5,9,8,7,10,8,9,6,1.2429,0.62574375,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",143,"AT",5,3,3,2,5,9,5,5,5,8,8,8,1.2429,1.9137603,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",144,"AT",8,6,4,6,5,9,7,9,9,9,8,8,1.2429,0.62574375,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",146,"AT",3,3,3,2,7,9,5,3,7,7,7,6,1.2429,2.8415408,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",147,"AT",9,5,5,3,4,7,6,5,9,8,10,7,1.2429,1.4399235,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",152,"AT",5,2,2,5,4,8,5,5,5,3,4,7,0.8286,0.41716248,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",155,"AT",2,1,1,1,5,6,3,2,8,6,2,6,0.8286,0.886352,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",159,"AT",7,6,6,7,5,7,4,5,8,7,5,7,0.8286,0.63305193,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",164,"AT",6,5,3,6,6,7,5,4,7,6,6,8,0.8286,0.959949,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",167,"AT",5,3,0,0,5,9,9,6,8,9,9,8,0.4143,0.443176,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",170,"AT",10,5,5,8,5,9,8,7,7,4,9,9,1.6572,1.212545,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",171,"AT",5,4,3,3,5,5,6,5,7,8,8,3,0.4143,0.4799745,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",173,"AT",8,3,0,88,88,9,8,1,7,8,8,9,1.6572,1.4090211,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",174,"AT",6,3,3,2,6,7,7,7,9,9,7,7,1.6572,1.2661039,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",177,"AT",7,4,4,4,5,6,7,4,5,7,7,8,1.2429,0.62574375,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",179,"AT",5,5,5,5,88,10,5,88,5,8,4,9,1.6572,1.2661039,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",180,"AT",6,3,3,4,6,7,7,5,3,7,8,7,2.0715,1.7612765,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",182,"AT",6,4,4,5,3,7,5,6,7,8,8,7,0.8286,0.7337996,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",185,"AT",6,5,5,5,5,4,3,3,6,7,8,4,0.4143,0.36163807,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",191,"AT",6,5,5,5,5,5,2,5,7,8,4,4,0.4143,0.4799745,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",192,"AT",5,4,3,4,5,7,4,4,7,7,8,7,0.8286,0.72327614,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",194,"AT",6,2,2,3,5,6,5,4,7,6,6,6,0.8286,1.3967173,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",195,"AT",3,1,1,1,8,5,3,1,3,5,6,7,0.4143,0.35225528,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",198,"AT",7,7,5,88,77,77,77,77,77,77,77,8,0.4143,0.33626834,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",200,"AT",9,9,9,9,6,5,5,7,5,88,88,5,0.4143,1.0062578,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",201,"AT",4,5,6,5,4,4,5,5,2,88,5,6,0.8286,0.76838833,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",204,"AT",2,0,3,2,5,7,7,0,0,2,4,8,0.8286,0.44318175,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",206,"AT",3,4,4,1,8,3,4,1,4,4,5,3,0.4143,0.47081777,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",209,"AT",2,4,3,1,88,9,5,1,6,5,6,2,0.4143,0.37422615,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",212,"AT",7,2,2,4,1,9,8,1,3,3,3,1,0.4143,0.22159088,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",213,"AT",3,2,3,4,8,8,6,6,2,2,5,8,0.8286,1.3205117,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",215,"AT",3,2,3,3,4,7,7,2,5,5,6,8,0.8286,1.3517219,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",216,"AT",2,1,1,0,88,10,6,3,7,5,7,10,0.8286,0.44318175,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",218,"AT",6,2,3,2,3,7,6,4,2,3,2,7,0.4143,0.33626834,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",219,"AT",7,2,3,7,5,8,7,8,8,8,7,8,0.8286,1.3471749,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",222,"AT",7,6,5,5,5,9,7,6,7,3,5,9,1.2429,0.6647726,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",224,"AT",3,3,2,1,5,8,6,3,4,5,2,7,0.4143,0.33626834,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",230,"AT",3,2,3,5,3,7,8,5,8,3,6,6,0.4143,0.37422615,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",233,"AT",5,5,5,4,4,8,7,6,8,6,9,8,0.4143,0.37422615,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",234,"AT",8,3,3,6,0,5,8,7,8,8,9,7,0.8286,0.6725367,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",237,"AT",3,3,4,7,5,7,4,3,6,3,4,7,0.8286,0.8636884,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",242,"AT",6,4,5,2,5,7,6,5,8,7,10,8,0.8286,1.3517219,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",243,"AT",5,2,4,7,88,5,5,6,4,8,6,5,0.8286,0.76838833,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",245,"AT",7,4,3,6,5,7,7,2,6,7,3,8,0.8286,1.019823,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",246,"AT",5,5,5,5,0,0,5,5,0,0,4,0,0.4143,0.67586094,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",258,"AT",88,88,88,88,6,5,4,5,4,4,4,8,0.4143,0.33626834,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",260,"AT",3,3,3,3,88,88,88,88,88,88,88,7,0.4143,0.32204348,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",263,"AT",1,1,1,1,88,10,6,88,88,7,7,9,1.2429,1.0088049,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",264,"AT",1,2,2,3,6,5,6,5,5,6,7,10,0.8286,1.4838333,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",266,"AT",4,5,6,5,6,5,6,5,10,8,8,10,0.4143,0.38978407,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",267,"AT",3,4,3,2,88,4,4,4,88,5,5,7,0.4143,0.32204348,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",269,"AT",1,1,1,2,88,6,5,5,7,7,8,8,0.8286,0.6725367,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",270,"AT",1,1,2,2,6,6,5,5,5,6,5,5,0.4143,0.33626834,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",273,"AT",77,77,77,77,77,77,77,77,77,77,77,7,0.4143,0.38419417,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",275,"AT",9,77,77,77,77,77,77,77,77,77,77,77,0.4143,1.0062578,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",276,"AT",88,88,88,88,5,9,8,5,5,5,5,88,0.4143,0.75013036,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",281,"AT",7,0,0,5,3,8,8,8,8,7,5,7,0.4143,1.0062578,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",284,"AT",8,5,6,6,2,8,3,1,3,5,9,8,0.4143,0.37422615,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",291,"AT",3,0,0,2,4,0,2,3,4,6,8,7,0.8286,1.3517219,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",293,"AT",3,1,2,6,2,6,4,2,3,3,7,4,0.8286,1.3471749,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",294,"AT",5,2,0,2,0,5,10,0,0,0,7,5,0.8286,0.76838833,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",296,"AT",7,3,3,7,3,8,7,3,7,5,7,8,0.4143,0.38419417,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",297,"AT",1,0,3,0,5,8,7,0,0,10,5,8,1.2429,1.4124533,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",299,"AT",0,0,0,0,88,10,88,0,0,1,3,10,0.4143,0.38419417,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",300,"AT",2,2,2,2,0,7,2,1,1,7,7,8,1.6572,2.6410234,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",302,"AT",8,5,3,6,88,9,6,7,7,7,10,9,0.8286,0.44318175,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",303,"AT",6,6,6,5,88,10,8,6,8,7,6,10,0.8286,0.44318175,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",306,"AT",6,8,9,7,88,9,2,4,4,6,7,9,0.4143,0.38419417,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",308,"AT",6,2,5,8,88,9,3,0,8,7,7,10,1.6572,1.5591363,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",309,"AT",3,1,1,3,5,4,4,1,2,3,5,5,0.4143,0.33626834,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",311,"AT",8,2,1,5,4,5,8,5,6,8,8,5,1.2429,0.6647726,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",312,"AT",5,4,3,5,7,9,8,7,8,8,9,10,0.8286,1.019823,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",314,"AT",5,4,4,3,88,8,7,5,5,6,8,9,0.4143,0.67770845,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",315,"AT",6,4,4,4,7,10,8,5,7,7,9,10,2.0715,1.8685338,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",317,"AT",0,88,0,88,88,4,88,88,88,8,10,6,0.4143,1.0062578,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",318,"AT",88,1,1,7,8,8,88,88,88,2,5,7,1.6572,2.6410234,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",324,"AT",7,5,4,5,4,9,8,7,8,7,10,9,0.8286,0.44318175,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",326,"AT",5,3,3,4,88,8,9,8,8,6,10,8,0.4143,0.33626834,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",327,"AT",5,3,3,4,3,8,6,5,8,5,7,9,1.2429,1.1525825,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",329,"AT",5,3,4,0,3,3,4,7,6,7,5,5,0.8286,1.019823,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",332,"AT",0,0,0,0,88,10,88,0,0,3,1,10,1.2429,1.0088049,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",333,"AT",8,3,6,4,3,3,2,2,3,1,4,5,0.8286,1.3205117,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",335,"AT",5,3,3,88,3,7,6,4,7,4,7,7,0.4143,0.22159088,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",336,"AT",3,2,2,0,7,9,5,2,9,5,8,9,0.8286,0.76838833,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",338,"AT",6,4,4,4,7,7,7,5,7,7,7,6,0.8286,0.94163555,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",339,"AT",5,2,1,0,88,9,7,0,2,6,6,9,1.2429,0.6647726,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",350,"AT",5,2,2,8,5,10,8,5,5,7,7,10,1.6572,0.8863635,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",353,"AT",5,0,0,2,7,9,2,5,7,8,8,7,1.6572,3.0005214,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",356,"AT",9,7,5,7,5,9,8,7,8,6,8,9,1.2429,1.4124533,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",357,"AT",4,5,3,5,5,8,7,4,6,3,9,8,0.8286,0.44318175,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",360,"AT",5,4,4,7,5,9,7,4,8,8,10,9,0.8286,0.7484523,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",362,"AT",2,3,3,2,6,6,6,6,6,6,8,8,0.8286,0.76838833,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",363,"AT",4,77,5,7,4,6,5,8,4,6,6,0,1.2429,1.1211203,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",365,"AT",6,6,6,7,7,5,8,8,7,8,8,10,0.4143,0.22159088,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",366,"AT",5,7,7,6,7,8,8,8,8,8,8,9,0.8286,1.3554169,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",368,"AT",5,5,5,5,6,9,9,9,9,9,9,9,0.4143,0.22159088,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",369,"AT",4,5,4,4,6,6,6,6,6,6,5,10,2.0715,1.8685338,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",371,"AT",6,6,6,7,5,5,5,5,5,8,8,9,0.8286,0.6725367,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",372,"AT",5,5,5,5,5,9,9,9,9,9,9,10,0.8286,0.76838833,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",377,"AT",5,0,0,0,88,10,0,0,0,0,7,10,0.8286,0.94163555,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",380,"AT",8,4,4,5,5,10,6,3,6,4,7,10,1.6572,0.8863635,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",384,"AT",3,2,2,1,5,9,8,88,7,5,7,2,0.8286,0.94163555,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",389,"AT",0,0,0,0,88,5,2,0,0,5,8,6,0.8286,1.019823,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",390,"AT",8,3,5,2,3,10,7,3,7,3,9,10,1.2429,1.1525825,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",392,"AT",4,3,2,5,88,9,6,4,4,4,5,9,1.2429,0.6647726,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",396,"AT",5,2,4,0,7,8,8,0,5,8,8,8,0.8286,1.3205117,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",398,"AT",2,3,3,0,9,7,6,0,3,7,7,7,1.2429,0.96613044,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",401,"AT",7,6,7,6,5,10,8,7,7,5,9,8,1.2429,1.5297345,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",402,"AT",5,2,2,5,5,6,4,3,4,2,7,6,1.6572,1.3450733,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",405,"AT",88,5,3,7,7,6,88,88,88,4,7,1,1.2429,0.96613044,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",407,"AT",7,5,5,8,88,5,6,6,7,5,8,6,0.4143,1.0062578,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",408,"AT",7,8,8,6,88,8,7,8,10,9,8,4,1.6572,1.3450733,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",414,"AT",3,1,1,1,4,5,4,7,6,3,6,6,1.2429,1.5297345,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",416,"AT",5,5,5,3,5,8,7,5,10,4,8,10,1.6572,2.039646,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",419,"AT",7,2,2,5,3,9,4,3,8,4,4,9,1.6572,0.8863635,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",420,"AT",6,2,2,4,88,10,10,8,9,8,3,9,1.2429,0.6647726,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",422,"AT",2,0,0,0,5,7,0,0,3,6,4,8,0.8286,0.76838833,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",423,"AT",77,77,77,9,9,77,77,77,77,77,77,8,0.4143,1.0062578,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",425,"AT",0,1,2,0,8,10,5,0,5,77,77,10,0.8286,1.3517219,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",428,"AT",5,3,4,6,5,10,4,1,7,1,3,10,1.2429,0.6647726,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",429,"AT",6,7,5,7,5,5,5,5,5,5,5,88,0.8286,0.7484523,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",431,"AT",4,3,3,2,88,4,3,3,6,88,6,6,0.8286,0.94163555,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",432,"AT",3,1,2,3,6,7,3,0,6,2,6,7,0.4143,0.75013036,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",435,"AT",9,77,77,77,77,77,77,77,77,77,77,9,0.4143,0.8408217,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",437,"AT",3,2,2,2,5,9,8,4,7,6,7,8,1.2429,0.6647726,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",438,"AT",5,5,5,5,88,8,6,88,88,7,7,9,0.4143,0.33626834,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",440,"AT",0,3,3,6,5,8,7,2,6,4,6,10,1.6572,2.039646,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",441,"AT",6,7,3,9,5,10,9,8,8,8,10,10,1.2429,0.96613044,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",443,"AT",0,0,3,0,10,10,0,10,8,8,2,8,0.8286,0.7484523,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",444,"AT",3,0,0,0,1,8,1,1,3,8,7,9,0.8286,0.44318175,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",450,"AT",8,2,5,2,1,4,7,2,7,5,5,7,1.6572,2.039646,0.28911608
"ESS3e03_7",3,"3.7","01.12.2018",452,"AT",6,5,5,9,5,7,3,8,5,6,5,8,3.3144,3.0735533,0.28911608
